BarCode,Product Name,SKU,Collection,SIZE,Sale Price,Cost Price,Collection Description,Collection Discount,Tax Percentage,STATUS
5071502001,Nooraya S,FW25-0150,FUSION WAVES,S,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502002,Nooraya M,FW25-0150,FUSION WAVES,M,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502003,Nooraya L,FW25-0150,FUSION WAVES,L,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502004,Nooraya XL,FW25-0150,FUSION WAVES,XL,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502005,Nooraya S,FW25-0150,FUSION WAVES,S,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502006,Nooraya M,FW25-0150,FUSION WAVES,M,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502007,Nooraya L,FW25-0150,FUSION WAVES,L,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502008,Nooraya XL,FW25-0150,FUSION WAVES,XL,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502009,Aleeza S,FW25-0160,FUSION WAVES,S,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502010,Aleeza M,FW25-0160,FUSION WAVES,M,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502011,Aleeza L,FW25-0160,FUSION WAVES,L,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502012,Aleeza XL,FW25-0160,FUSION WAVES,XL,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502013,Aleeza S,FW25-0160,FUSION WAVES,S,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502014,Aleeza M,FW25-0160,FUSION WAVES,M,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502015,Aleeza L,FW25-0160,FUSION WAVES,L,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
