BarCode,Product Name,SKU,Collection,SIZE,Sale Price,Cost Price,Collection Description,Collection Discount,Tax Percentage,STATUS
5071502313,Arianna ,TS-CO-03,TS.CO-ORDS,XS,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502314,Arianna ,TS-CO-03,TS.CO-ORDS,S,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502315,Arianna ,TS-CO-03,TS.CO-ORDS,M,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502316,Arianna ,TS-CO-03,TS.CO-ORDS,L,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502317,Chiara,TS-CO-01,TS.CO-ORDS,XS,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502318,Chiara,TS-CO-01,TS.CO-ORDS,S,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502319,Chiara,TS-CO-01,TS.CO-ORDS,M,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502320,Chiara,TS-CO-01,TS.CO-ORDS,L,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502321,Alessia,TS-CO-02,TS.CO-ORDS,XS,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502322,Alessia,TS-CO-02,TS.CO-ORDS,S,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502323,Alessia,TS-CO-02,TS.CO-ORDS,M,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502324,Alessia,TS-CO-02,TS.CO-ORDS,L,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502325,Viola,TS-CO-04,TS.CO-ORDS,XS,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502326,Viola,TS-CO-04,TS.CO-ORDS,S,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502327,Viola,TS-CO-04,TS.CO-ORDS,M,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502328,Viola,TS-CO-04,TS.CO-ORDS,L,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502329,Aurora ,TS-CO-05,TS.CO-ORDS,XS,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502330,Aurora ,TS-CO-05,TS.CO-ORDS,S,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502331,Aurora ,TS-CO-05,TS.CO-ORDS,M,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502332,Aurora ,TS-CO-05,TS.CO-ORDS,L,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502333,Sofia,TS-CO-06,TS.CO-ORDS,XS,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502334,Sofia,TS-CO-06,TS.CO-ORDS,S,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502335,Sofia,TS-CO-06,TS.CO-ORDS,M,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502336,Sofia,TS-CO-06,TS.CO-ORDS,L,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502337,Luna,TS-CO-07,TS.CO-ORDS,XS,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502338,Luna,TS-CO-07,TS.CO-ORDS,S,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502339,Luna,TS-CO-07,TS.CO-ORDS,M,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502340,Luna,TS-CO-07,TS.CO-ORDS,L,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502341,Isabella,TS-CO-08,TS.CO-ORDS,XS,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502342,Isabella,TS-CO-08,TS.CO-ORDS,S,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502343,Isabella,TS-CO-08,TS.CO-ORDS,M,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502344,Isabella,TS-CO-08,TS.CO-ORDS,L,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502345,Natashaa,TS-CO-09,TS.CO-ORDS,XS,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502346,Natashaa,TS-CO-09,TS.CO-ORDS,S,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502347,Natashaa,TS-CO-09,TS.CO-ORDS,M,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502348,Natashaa,TS-CO-09,TS.CO-ORDS,L,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502349,Finah,TS-CO-10,TS.CO-ORDS,XS,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502350,Finah,TS-CO-10,TS.CO-ORDS,S,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502351,Finah,TS-CO-10,TS.CO-ORDS,M,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502352,Finah,TS-CO-10,TS.CO-ORDS,L,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502353,Lyra ,TS-CO-11,TS.CO-ORDS,XS,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502354,Lyra ,TS-CO-11,TS.CO-ORDS,S,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502355,Lyra ,TS-CO-11,TS.CO-ORDS,M,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502356,Lyra ,TS-CO-11,TS.CO-ORDS,L,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502357,Rohee ,TS-CO-12,TS.CO-ORDS,XS,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502358,Rohee ,TS-CO-12,TS.CO-ORDS,S,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502359,Rohee ,TS-CO-12,TS.CO-ORDS,M,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502360,Rohee ,TS-CO-12,TS.CO-ORDS,L,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502361,Amira,TS-CO-13,TS.CO-ORDS,XS,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502362,Amira,TS-CO-13,TS.CO-ORDS,S,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502363,Amira,TS-CO-13,TS.CO-ORDS,M,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502364,Amira,TS-CO-13,TS.CO-ORDS,L,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502365,Zayna,TS-CO-14,TS.CO-ORDS,XS,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502366,Zayna,TS-CO-14,TS.CO-ORDS,S,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502367,Zayna,TS-CO-14,TS.CO-ORDS,M,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502368,Zayna,TS-CO-14,TS.CO-ORDS,L,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502369,Mystique,TS-CO-15,TS.CO-ORDS,XS,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502370,Mystique,TS-CO-15,TS.CO-ORDS,S,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502371,Mystique,TS-CO-15,TS.CO-ORDS,M,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502372,Mystique,TS-CO-15,TS.CO-ORDS,L,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502373,Simber,TS-CO-16,TS.CO-ORDS,XS,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502374,Simber,TS-CO-16,TS.CO-ORDS,S,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502375,Simber,TS-CO-16,TS.CO-ORDS,M,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502376,Simber,TS-CO-16,TS.CO-ORDS,L,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502377,Natashaa,TS-CO-09,TS.CO-ORDS,S,"  5,990 ","  5,990 ",2-PIECE CO-ORDS,35%,0%,ACTIVE
5071502378,Seljan ,FCZ-07,ZUMRA,XS,"  19,999 ","  19,999 ",3-PIECE LUXURY,25%,0%,ACTIVE
5071502379,Seljan ,FCZ-07,ZUMRA,S,"  19,999 ","  19,999 ",3-PIECE LUXURY,25%,0%,ACTIVE
5071502380,Seljan ,FCZ-07,ZUMRA,M,"  19,999 ","  19,999 ",3-PIECE LUXURY,25%,0%,ACTIVE
5071502381,Seljan ,FCZ-07,ZUMRA,L,"  19,999 ","  19,999 ",3-PIECE LUXURY,25%,0%,ACTIVE
