id,dress_id,barcode,status,size_discount_percentage,size_discount_active,sold_at,returned_at,created_at,updated_at
1,1,5071502001,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
2,2,5071502002,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
3,3,5071502003,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
4,4,5071502004,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
5,5,5071502005,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
6,6,5071502006,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
7,7,5071502007,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
8,8,5071502008,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
9,9,5071502009,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
10,10,5071502010,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
11,11,5071502011,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
12,12,5071502012,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
13,13,5071502013,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
14,14,5071502014,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
15,15,5071502015,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
16,16,5071502016,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
17,17,5071502017,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
18,18,5071502018,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
19,19,5071502019,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
20,20,5071502020,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
21,21,5071502021,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
22,22,5071502022,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
23,23,5071502023,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
24,24,5071502024,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
25,25,5071502025,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
26,26,5071502026,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
27,27,5071502027,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
28,28,5071502028,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
29,29,5071502029,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
30,30,5071502030,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
31,31,5071502031,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
32,32,5071502032,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
33,33,5071502033,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
34,34,5071502034,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
35,35,5071502035,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
36,36,5071502036,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
37,37,5071502037,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
38,38,5071502038,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
39,39,5071502039,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
40,40,5071502040,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
41,41,5071502041,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
42,42,5071502042,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
43,43,5071502043,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
44,44,5071502044,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
45,45,5071502045,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
46,46,5071502046,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
47,47,5071502047,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
48,48,5071502048,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
49,49,5071502049,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
50,50,5071502050,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
51,51,5071502051,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
52,52,5071502052,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
53,53,5071502053,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
54,54,5071502054,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
55,55,5071502055,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
56,56,5071502056,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
57,57,5071502057,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
58,58,5071502058,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
59,59,5071502059,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
60,60,5071502060,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
61,61,5071502061,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
62,62,5071502062,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
63,63,5071502063,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
64,64,5071502064,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
65,65,5071502065,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
66,66,5071502066,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
67,67,5071502067,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
68,68,5071502068,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
69,69,5071502069,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
70,70,5071502070,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
71,71,5071502071,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
72,72,5071502072,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
73,73,5071502073,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
74,74,5071502074,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
75,75,5071502075,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
76,76,5071502076,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
77,77,5071502077,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
78,78,5071502078,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
79,79,5071502079,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
80,80,5071502080,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
81,81,5071502081,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
82,82,5071502082,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
83,83,5071502083,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
84,84,5071502084,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
85,85,5071502085,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
86,86,5071502086,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
87,87,5071502087,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
88,88,5071502088,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
89,89,5071502089,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
90,90,5071502090,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
91,91,5071502091,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
92,92,5071502092,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
93,93,5071502093,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
94,94,5071502094,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
95,95,5071502095,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
96,96,5071502096,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
97,97,5071502097,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
98,98,5071502098,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
99,99,5071502099,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
100,100,5071502100,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
101,101,5071502101,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
102,102,5071502102,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
103,103,5071502103,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
104,104,5071502104,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
105,105,5071502105,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
106,106,5071502106,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
107,107,5071502107,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
108,108,5071502108,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
109,109,5071502109,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
110,110,5071502110,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
111,111,5071502111,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
112,112,5071502112,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
113,113,5071502113,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
114,114,5071502114,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
115,115,5071502115,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
116,116,5071502116,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
117,117,5071502117,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
118,118,5071502118,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
119,119,5071502119,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
120,120,5071502120,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
121,121,5071502121,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
122,122,5071502122,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
123,123,5071502123,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
124,124,5071502124,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
125,125,5071502125,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
126,126,5071502126,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
127,127,5071502127,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
128,128,5071502128,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
129,129,5071502129,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
130,130,5071502130,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
131,131,5071502131,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
132,132,5071502132,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
133,133,5071502133,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
134,134,5071502134,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
135,135,5071502135,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
136,136,5071502136,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
137,137,5071502137,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
138,138,5071502138,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
139,139,5071502139,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
140,140,5071502140,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
141,26,5071502141,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
142,37,5071502142,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
143,48,5071502143,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
144,59,5071502144,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
145,70,5071502145,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
146,81,5071502146,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
147,92,5071502147,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
148,103,5071502148,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
149,114,5071502149,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
150,125,5071502150,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
151,136,5071502151,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
152,25,5071502152,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
153,36,5071502153,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
154,47,5071502154,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
155,58,5071502155,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
156,69,5071502156,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
157,80,5071502157,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
158,91,5071502158,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
159,102,5071502159,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
160,113,5071502160,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
161,124,5071502161,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
162,135,5071502162,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
163,24,5071502163,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
164,35,5071502164,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
165,46,5071502165,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
166,57,5071502166,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
167,68,5071502167,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
168,79,5071502168,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
169,90,5071502169,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
170,101,5071502170,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
171,112,5071502171,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
172,123,5071502172,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
173,134,5071502173,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
174,23,5071502174,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
175,34,5071502175,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
176,45,5071502176,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
177,56,5071502177,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
178,67,5071502178,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
179,78,5071502179,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
180,89,5071502180,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
181,111,5071502181,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
182,122,5071502182,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
183,133,5071502183,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
184,22,5071502184,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
185,33,5071502185,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
186,44,5071502186,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
187,55,5071502187,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
188,66,5071502188,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
189,77,5071502189,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
190,88,5071502190,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
191,110,5071502191,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
192,121,5071502192,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
193,132,5071502193,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
194,21,5071502194,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
195,32,5071502195,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
196,43,5071502196,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
197,54,5071502197,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
198,65,5071502198,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
199,76,5071502199,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
200,87,5071502200,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
201,109,5071502201,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
202,120,5071502202,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
203,131,5071502203,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
204,20,5071502204,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
205,31,5071502205,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
206,42,5071502206,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
207,53,5071502207,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
208,64,5071502208,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
209,75,5071502209,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
210,86,5071502210,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
211,108,5071502211,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
212,119,5071502212,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
213,130,5071502213,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
214,19,5071502214,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
215,30,5071502215,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
216,41,5071502216,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
217,52,5071502217,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
218,63,5071502218,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
219,74,5071502219,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
220,85,5071502220,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
221,107,5071502221,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
222,118,5071502222,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
223,129,5071502223,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
224,18,5071502224,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
225,29,5071502225,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
226,40,5071502226,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
227,51,5071502227,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
228,62,5071502228,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
229,73,5071502229,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
230,84,5071502230,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
231,106,5071502231,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
232,117,5071502232,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
233,128,5071502233,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
234,17,5071502234,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
235,28,5071502235,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
236,39,5071502236,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
237,50,5071502237,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
238,61,5071502238,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
239,72,5071502239,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
240,83,5071502240,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
241,105,5071502241,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
242,116,5071502242,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
243,127,5071502243,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
244,16,5071502244,available,0.00,0,,,"2025-01-01 00:00:00","2025-01-01 00:00:00"
