id,dress_id,barcode,size_discount_percentage,size_discount_active,status,sold_at,returned_at,created_at,updated_at
1,1,2500001,7.00,1,sold,"2025-07-13 22:21:57",,"2025-07-13 21:37:07","2025-07-13 22:21:57"
2,1,2500002,0.00,0,sold,"2025-07-13 22:22:28",,"2025-07-13 21:37:07","2025-07-13 22:22:28"
3,2,2500003,8.00,0,sold,"2025-07-13 22:21:57",,"2025-07-13 21:37:07","2025-07-13 22:21:57"
4,2,2500004,8.00,1,sold,"2025-07-13 22:22:28",,"2025-07-13 21:37:07","2025-07-13 22:22:28"
5,3,2500005,10.00,0,sold,"2025-07-13 22:34:49",,"2025-07-13 21:37:07","2025-07-13 22:34:49"
6,3,2500006,0.00,0,sold,"2025-07-13 22:36:10",,"2025-07-13 21:37:07","2025-07-13 22:36:10"
7,4,2500007,2.00,1,sold,"2025-07-13 22:34:49",,"2025-07-13 21:37:07","2025-07-13 22:34:49"
8,4,2500008,10.00,0,sold,"2025-07-13 22:37:01",,"2025-07-13 21:37:07","2025-07-13 22:37:01"
9,5,2500009,8.00,1,sold,"2025-07-13 22:37:01",,"2025-07-13 21:37:07","2025-07-13 22:37:01"
10,5,2500010,7.00,0,sold,"2025-07-14 21:37:09",,"2025-07-13 21:37:07","2025-07-14 21:37:09"
11,6,2500011,9.00,1,sold,"2025-07-14 21:37:52",,"2025-07-13 21:37:07","2025-07-14 21:37:52"
12,6,2500012,9.00,0,sold,"2025-07-14 21:38:37",,"2025-07-13 21:37:07","2025-07-14 21:38:37"
13,7,2500013,12.00,0,sold,"2025-07-14 21:39:43",,"2025-07-13 21:37:07","2025-07-14 21:39:43"
14,7,2500014,9.00,0,sold,"2025-07-14 21:43:23",,"2025-07-13 21:37:07","2025-07-14 21:43:23"
15,8,2500015,15.00,1,sold,"2025-07-14 21:43:23",,"2025-07-13 21:37:07","2025-07-14 21:43:23"
16,8,2500016,14.00,0,sold,"2025-07-14 21:44:17",,"2025-07-13 21:37:07","2025-07-14 21:44:17"
17,9,2500017,14.00,0,sold,"2025-07-14 21:44:17",,"2025-07-13 21:37:07","2025-07-14 21:44:17"
18,9,2500018,13.00,1,sold,"2025-07-14 21:44:17",,"2025-07-13 21:37:07","2025-07-14 21:44:17"
19,10,2500019,4.00,0,sold,"2025-07-14 22:24:23",,"2025-07-13 21:37:07","2025-07-14 22:24:23"
20,10,2500020,10.00,0,returned_resaleable,"2025-07-14 22:24:23","2025-07-15 13:26:22","2025-07-13 21:37:07","2025-07-15 13:26:22"
21,11,2500021,11.00,0,returned_resaleable,"2025-07-14 22:24:23","2025-07-15 13:17:47","2025-07-13 21:37:07","2025-07-15 13:17:47"
22,11,2500022,5.00,0,returned_resaleable,"2025-07-14 22:24:23",,"2025-07-13 21:37:07","2025-07-15 01:13:58"
