id,collection_id,name,sku,description,size,hs_code,cost_price,sale_price,discount_percentage,discount_active,tax_percentage,status,created_at,updated_at
1,1,"Aisha XS",rh001xs,"Royal Heritage collection - Aisha design in XS size",XS,6204.31.00,5313.00,7963.00,11.00,1,18.00,active,"2025-07-13 21:33:56","2025-07-13 21:33:56"
2,1,"Aisha S",rh001s,"Royal Heritage collection - Aisha design in S size",S,6204.31.00,4517.00,8704.00,19.00,1,18.00,active,"2025-07-13 21:33:56","2025-07-13 21:33:56"
3,1,"Aisha M",rh001m,"Royal Heritage collection - Aisha design in M size",M,6204.61.00,5020.00,6787.00,3.00,1,18.00,active,"2025-07-13 21:33:56","2025-07-13 21:33:56"
4,1,"Aisha L",rh001l,"Royal Heritage collection - Aisha design in L size",L,6204.62.00,5723.00,8232.00,16.00,1,18.00,active,"2025-07-13 21:33:56","2025-07-13 21:33:56"
5,1,"Aisha XL",rh001xl,"Royal Heritage collection - Aisha design in XL size",XL,6204.64.00,5430.00,8050.00,6.00,1,18.00,active,"2025-07-13 21:33:56","2025-07-13 21:33:56"
6,1,"Aisha XXL",rh001xxl,"Royal Heritage collection - Aisha design in XXL size",XXL,6204.32.00,5469.00,6639.00,4.00,1,18.00,active,"2025-07-13 21:33:56","2025-07-13 21:33:56"
7,1,"Aisha unstitched",rh001unstitched,"Royal Heritage collection - Aisha design in unstitched size",unstitched,6204.32.00,5680.00,7118.00,9.00,1,18.00,active,"2025-07-13 21:33:56","2025-07-13 21:33:56"
8,1,"Fatima XS",rh002xs,"Royal Heritage collection - Fatima design in XS size",XS,6204.63.00,5273.00,8525.00,10.00,1,18.00,active,"2025-07-13 21:33:56","2025-07-13 21:33:56"
9,1,"Fatima S",rh002s,"Royal Heritage collection - Fatima design in S size",S,6204.31.00,4415.00,6328.00,13.00,1,18.00,active,"2025-07-13 21:33:56","2025-07-13 21:33:56"
10,1,"Fatima M",rh002m,"Royal Heritage collection - Fatima design in M size",M,6204.41.00,5761.00,8013.00,6.00,1,18.00,active,"2025-07-13 21:33:56","2025-07-13 21:33:56"
11,1,"Fatima L",rh002l,"Royal Heritage collection - Fatima design in L size",L,6204.43.00,4234.00,8182.00,1.00,1,18.00,active,"2025-07-13 21:33:56","2025-07-13 21:33:56"
12,1,"Fatima XL",rh002xl,"Royal Heritage collection - Fatima design in XL size",XL,6204.63.00,4884.00,7705.00,16.00,1,18.00,active,"2025-07-13 21:33:56","2025-07-13 21:33:56"
13,1,"Fatima XXL",rh002xxl,"Royal Heritage collection - Fatima design in XXL size",XXL,6204.42.00,4256.00,8802.00,19.00,1,18.00,active,"2025-07-13 21:33:56","2025-07-13 21:33:56"
14,1,"Fatima unstitched",rh002unstitched,"Royal Heritage collection - Fatima design in unstitched size",unstitched,6204.44.00,4776.00,6584.00,16.00,1,18.00,active,"2025-07-13 21:33:56","2025-07-13 21:33:56"
15,1,"Khadija XS",rh003xs,"Royal Heritage collection - Khadija design in XS size",XS,6204.63.00,5916.00,6582.00,7.00,1,18.00,active,"2025-07-13 21:33:56","2025-07-13 21:33:56"
16,1,"Khadija S",rh003s,"Royal Heritage collection - Khadija design in S size",S,6204.41.00,4870.00,8201.00,11.00,1,18.00,active,"2025-07-13 21:33:56","2025-07-13 21:33:56"
