dress_sku,barcode,status,size_discount_percentage,size_discount_active,created_at,updated_at
FW25-0150-S,5071502001,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0150-M,5071502002,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0150-L,5071502003,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0150-XL,5071502004,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0150-S,5071502005,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0150-M,5071502006,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0150-L,5071502007,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0150-XL,5071502008,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0160-S,5071502009,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0160-M,5071502010,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0160-L,5071502011,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0160-XL,5071502012,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0160-S,5071502013,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0160-M,5071502014,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0160-L,5071502015,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0160-XL,5071502016,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0140-S,5071502017,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0140-M,5071502018,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0140-L,5071502019,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0140-XL,5071502020,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0140-S,5071502021,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0140-M,5071502022,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0140-L,5071502023,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0140-XL,5071502024,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0130-S,5071502025,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0130-M,5071502026,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0130-L,5071502027,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0130-XL,5071502028,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0120-S,5071502033,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0120-M,5071502034,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0120-L,5071502035,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0120-XL,5071502036,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0120-S,5071502037,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0120-M,5071502038,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0120-L,5071502039,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0120-XL,5071502040,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0110-S,5071502041,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0110-M,5071502042,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0110-L,5071502043,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0110-XL,5071502044,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0110-S,5071502045,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0110-M,5071502046,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0110-L,5071502047,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0110-XL,5071502048,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0100-S,5071502049,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0100-M,5071502050,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0100-L,5071502051,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0100-XL,5071502052,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0100-S,5071502053,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0100-M,5071502054,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0100-L,5071502055,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-0100-XL,5071502056,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-090-S,5071502057,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-090-M,5071502058,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-090-L,5071502059,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-090-XL,5071502060,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-090-S,5071502061,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-090-M,5071502062,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-090-L,5071502063,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-090-XL,5071502064,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-080-S,5071502065,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-080-M,5071502066,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-080-L,5071502067,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-080-XL,5071502068,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-080-S,5071502069,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-080-M,5071502070,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-080-L,5071502071,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-080-XL,5071502072,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
FW25-070-S,5071502073,available,0.00,false,"2024-12-31 19:00:00","2024-12-31 19:00:00"
