collection_name,name,sku,description,size,cost_price,sale_price,discount_percentage,discount_active,tax_percentage,status
"FUSION WAVES","Nooraya S",FW25-0150-S,"2-PIECE PRINT",S,6250,6250,0.00,false,0,active
"FUSION WAVES","Nooraya M",FW25-0150-M,"2-PIECE PRINT",M,6250,6250,0.00,false,0,active
"FUSION WAVES","Nooraya L",FW25-0150-L,"2-PIECE PRINT",L,6250,6250,0.00,false,0,active
"FUSION WAVES","Nooraya XL",FW25-0150-XL,"2-PIECE PRINT",XL,6250,6250,0.00,false,0,active
"FUSION WAVES","Aleeza S",FW25-0160-S,"2-PIECE PRINT",S,6250,6250,0.00,false,0,active
"FUSION WAVES","Aleeza M",FW25-0160-M,"2-PIECE PRINT",M,6250,6250,0.00,false,0,active
"FUSION WAVES","Aleeza L",FW25-0160-L,"2-PIECE PRINT",L,6250,6250,0.00,false,0,active
"FUSION WAVES","Aleeza XL",FW25-0160-XL,"2-PIECE PRINT",XL,6250,6250,0.00,false,0,active
"FUSION WAVES","Sereneh S",FW25-0140-S,"2-PIECE PRINT",S,6250,6250,0.00,false,0,active
"FUSION WAVES","Sereneh M",FW25-0140-M,"2-PIECE PRINT",M,6250,6250,0.00,false,0,active
"FUSION WAVES","Sereneh L",FW25-0140-L,"2-PIECE PRINT",L,6250,6250,0.00,false,0,active
"FUSION WAVES","Sereneh XL",FW25-0140-XL,"2-PIECE PRINT",XL,6250,6250,0.00,false,0,active
"FUSION WAVES","Aabroo S",FW25-0130-S,"2-PIECE PRINT",S,6250,6250,0.00,false,0,active
"FUSION WAVES","Aabroo M",FW25-0130-M,"2-PIECE PRINT",M,6250,6250,0.00,false,0,active
"FUSION WAVES","Aabroo L",FW25-0130-L,"2-PIECE PRINT",L,6250,6250,0.00,false,0,active
"FUSION WAVES","Aabroo XL",FW25-0130-XL,"2-PIECE PRINT",XL,6250,6250,0.00,false,0,active
"FUSION WAVES","Elaya S",FW25-0120-S,"2-PIECE PRINT",S,6250,6250,0.00,false,0,active
"FUSION WAVES","Elaya M",FW25-0120-M,"2-PIECE PRINT",M,6250,6250,0.00,false,0,active
"FUSION WAVES","Elaya L",FW25-0120-L,"2-PIECE PRINT",L,6250,6250,0.00,false,0,active
"FUSION WAVES","Elaya XL",FW25-0120-XL,"2-PIECE PRINT",XL,6250,6250,0.00,false,0,active
"FUSION WAVES","Naaz S",FW25-0110-S,"2-PIECE PRINT",S,6250,6250,0.00,false,0,active
"FUSION WAVES","Naaz M",FW25-0110-M,"2-PIECE PRINT",M,6250,6250,0.00,false,0,active
"FUSION WAVES","Naaz L",FW25-0110-L,"2-PIECE PRINT",L,6250,6250,0.00,false,0,active
"FUSION WAVES","Naaz XL",FW25-0110-XL,"2-PIECE PRINT",XL,6250,6250,0.00,false,0,active
"FUSION WAVES","Inaaya S",FW25-0100-S,"2-PIECE PRINT",S,6250,6250,0.00,false,0,active
"FUSION WAVES","Inaaya M",FW25-0100-M,"2-PIECE PRINT",M,6250,6250,0.00,false,0,active
"FUSION WAVES","Inaaya L",FW25-0100-L,"2-PIECE PRINT",L,6250,6250,0.00,false,0,active
"FUSION WAVES","Inaaya XL",FW25-0100-XL,"2-PIECE PRINT",XL,6250,6250,0.00,false,0,active
"FUSION WAVES","Yalina S",FW25-090-S,"2-PIECE PRINT",S,6250,6250,0.00,false,0,active
"FUSION WAVES","Yalina M",FW25-090-M,"2-PIECE PRINT",M,6250,6250,0.00,false,0,active
"FUSION WAVES","Yalina L",FW25-090-L,"2-PIECE PRINT",L,6250,6250,0.00,false,0,active
"FUSION WAVES","Yalina XL",FW25-090-XL,"2-PIECE PRINT",XL,6250,6250,0.00,false,0,active
"FUSION WAVES","Zareen S",FW25-080-S,"2-PIECE PRINT",S,6250,6250,0.00,false,0,active
"FUSION WAVES","Zareen M",FW25-080-M,"2-PIECE PRINT",M,6250,6250,0.00,false,0,active
"FUSION WAVES","Zareen L",FW25-080-L,"2-PIECE PRINT",L,6250,6250,0.00,false,0,active
"FUSION WAVES","Zareen XL",FW25-080-XL,"2-PIECE PRINT",XL,6250,6250,0.00,false,0,active
"FUSION WAVES","Silaah S",FW25-070-S,"2-PIECE PRINT",S,6250,6250,0.00,false,0,active
"FUSION WAVES","Silaah M",FW25-070-M,"2-PIECE PRINT",M,6250,6250,0.00,false,0,active
"FUSION WAVES","Silaah L",FW25-070-L,"2-PIECE PRINT",L,6250,6250,0.00,false,0,active
"FUSION WAVES","Silaah XL",FW25-070-XL,"2-PIECE PRINT",XL,6250,6250,0.00,false,0,active
"FUSION WAVES","Linaah S",FW25-060-S,"2-PIECE PRINT",S,6250,6250,0.00,false,0,active
"FUSION WAVES","Linaah M",FW25-060-M,"2-PIECE PRINT",M,6250,6250,0.00,false,0,active
"FUSION WAVES","Linaah L",FW25-060-L,"2-PIECE PRINT",L,6250,6250,0.00,false,0,active
"FUSION WAVES","Linaah XL",FW25-060-XL,"2-PIECE PRINT",XL,6250,6250,0.00,false,0,active
"FUSION WAVES","Cyana S",FW25-050-S,"2-PIECE PRINT",S,6250,6250,0.00,false,0,active
"FUSION WAVES","Cyana M",FW25-050-M,"2-PIECE PRINT",M,6250,6250,0.00,false,0,active
"FUSION WAVES","Cyana L",FW25-050-L,"2-PIECE PRINT",L,6250,6250,0.00,false,0,active
"FUSION WAVES","Cyana XL",FW25-050-XL,"2-PIECE PRINT",XL,6250,6250,0.00,false,0,active
"FUSION WAVES","Meher S",FW25-040-S,"2-PIECE PRINT",S,6250,6250,0.00,false,0,active
"FUSION WAVES","Meher M",FW25-040-M,"2-PIECE PRINT",M,6250,6250,0.00,false,0,active
"FUSION WAVES","Meher L",FW25-040-L,"2-PIECE PRINT",L,6250,6250,0.00,false,0,active
"FUSION WAVES","Meher XL",FW25-040-XL,"2-PIECE PRINT",XL,6250,6250,0.00,false,0,active
"FUSION WAVES","Avelyn S",FW25-030-S,"2-PIECE PRINT",S,6250,6250,0.00,false,0,active
"FUSION WAVES","Avelyn M",FW25-030-M,"2-PIECE PRINT",M,6250,6250,0.00,false,0,active
"FUSION WAVES","Avelyn L",FW25-030-L,"2-PIECE PRINT",L,6250,6250,0.00,false,0,active
"FUSION WAVES","Avelyn XL",FW25-030-XL,"2-PIECE PRINT",XL,6250,6250,0.00,false,0,active
"FUSION WAVES","Zayrah S",FW25-02-S,"2-PIECE PRINT",S,6250,6250,0.00,false,0,active
"FUSION WAVES","Zayrah M",FW25-02-M,"2-PIECE PRINT",M,6250,6250,0.00,false,0,active
"FUSION WAVES","Zayrah L",FW25-02-L,"2-PIECE PRINT",L,6250,6250,0.00,false,0,active
"FUSION WAVES","Zayrah XL",FW25-02-XL,"2-PIECE PRINT",XL,6250,6250,0.00,false,0,active
"FUSION WAVES","Nura S",FW25-01-S,"2-PIECE PRINT",S,6250,6250,0.00,false,0,active
"FUSION WAVES","Nura M",FW25-01-M,"2-PIECE PRINT",M,6250,6250,0.00,false,0,active
"FUSION WAVES","Nura L",FW25-01-L,"2-PIECE PRINT",L,6250,6250,0.00,false,0,active
"FUSION WAVES","Nura XL",FW25-01-XL,"2-PIECE PRINT",XL,6250,6250,0.00,false,0,active
Palette,"Sahara Gold S",TSP-25110-S,"2-PIECE SOLID",S,5250,5250,0.00,false,0,active
